0x100be67: URLDownloadToFileW
0x97e821: ResetEvent
0xe3430d: GetExitCodeThread
0xcf4623: TerminateThread
0xac5d4f: VirtualAllocEx
0xf33673: WriteProcessMemory
0x991224: Module32FirstW
0x78b4fc: Module32NextW
0xfff69c: CreateRemoteThread
0x892587: lstrcmpiW
0x6dd432: GlobalSize
0x62d860: GlobalLock
0x96a4b2: ExitProcess
0x8d8d3f: FreeLibrary
0x350533: Sleep
0xd609b3: GetStartupInfoW
0xc0878b: CompareStringW
0xb6f2c3: VirtualQuery
0x1336a0e: FlushInstructionCache
0x9de2bd: VirtualFree
0x9fe564: GetSystemInfo
0x8e3148: GetTickCount
0xf8e0b4: GetCurrentDirectoryW
0xf36fac: SetCurrentDirectoryW
0x99b971: GetCommandLineW
0x1386502: QueryPerformanceCounter
0x131d11f: GetTokenInformation
0x1228cf8: GetSidSubAuthorityCount
0xe5aba4: GetSidSubAuthority
0x6fe6ff: IsValidSid
0xe38902: OpenProcessToken
0x11904cd: ConvertSidToStringSidW
0xef3e10: LookupAccountSidW
0xeb9cfb: CreateProcessAsUserW
0xfe2c72: CryptAcquireContextA
0xdab900: CryptCreateHash
0xb42891: CryptHashData
0xc7bb08: CryptGetHashParam
0xbc8e66: CryptDestroyHash
0xfdc9d6: CryptReleaseContext
0xc46046: CryptImportKey
0x851516: CryptGenKey
0xce7998: CryptExportKey
0xbc4e6d: CryptEncrypt
0xd90a5e: CryptDestroyKey
0xc0f85c: CryptDeriveKey
0xffa6ad: CryptVerifySignatureW
0xbf61d2: CryptDecrypt
0x1aa52ef: InitializeSecurityDescriptor
0x8fcc66: InitializeAcl
0x10d374a: CreateWellKnownSid
0x11136ad: AddAccessAllowedAce
0x16af315: SetSecurityDescriptorDacl
0x926ba9: RegOpenKeyExW
0xba10dd: RegQueryValueExW
0x7bc02b: RegCloseKey
0x9206c4: RegEnumKeyExW
0x9b31e5: RegEnumValueW
0xbc4553: RegCreateKeyExW
0xb8570a: RegSetValueExW
0x96b551: RegDeleteKeyW
0xb2a79d: OpenThreadToken
0x17b08fc: AllocateAndInitializeSid
0x630fec: EqualSid
0x42dde0: FreeSid
0xb3809b: SetServiceStatus
0x1b40f7d: RegisterServiceCtrlHandlerExW
0xfa8a02: CryptAcquireContextW
0x9ce10c: OpenSCManagerW
0xca4210: CreateServiceW
0x842937: RegFlushKey
0x10d7948: CloseServiceHandle
0x9da5f0: OpenServiceW
0xe2bb26: QueryServiceStatusEx
0xccad7e: QueryServiceStatus
0xce441f: StartServiceW
0x1345c26: CreateProcessWithLogonW
0xbc7099: RegDeleteValueW
0x18a7805: StartServiceCtrlDispatcherW
0x8306c5: CoInitialize
0x9eb97b: CoUninitialize
0xab55de: WTSQueryUserToken
0xefac05: WTSEnumerateSessionsW
0x9502c2: WTSFreeMemory
0xbe95c6: ShellExecuteExW
0x1960542: SHGetSpecialFolderLocation
0xe99439: SHGetPathFromIDListW
0xa0ddc3: ShellExecuteW
0x7cc009: ShowWindow
0x1685eaf: GetWindowThreadProcessId
0x71866d: GetWindow
0x7b76b8: FindWindowA
0x94f05e: SendMessageA
0xcebeee: GetSystemMetrics
0x25823e: GetDC
0xa6c93d: GetCursorInfo
0x6074f4: DrawIcon
0xed91ea: PostThreadMessageW
0xd6f674: GetKeyboardState
0x989d3b: GetKeyState
0x80041f: ToUnicodeEx
0xa6c721: DefWindowProcW
0x6be07c: ReleaseDC
0x10e3c69: SystemParametersInfoW
0xb38a79: GetCursorPos
0x564788: LoadIconW
0x8bbf2f: LoadCursorW
0xce156a: RegisterClassW
0xba27ef: CreateWindowExW
0x9c88bd: UpdateWindow
0x91c75b: GetMessageW
0xd57df6: TranslateMessage
0xd75e49: DispatchMessageW
0x115ec96: GetForegroundWindow
0xb58e61: IsWindowVisible
0xe2d8f7: GetDesktopWindow
0xb9d4dc: MapVirtualKeyW
0xef9e1d: GetKeyboardLayout
0xe463f3: NtDuplicateToken
0xf32f77: NtOpenProcessToken
0x47a77c: NtClose
0x110cd20: VerSetConditionMask
0x168d265: NtQueryInformationProcess
0x1551fe3: ZwQueryInformationThread
0xba369b: RtlAllocateHeap
0x90059a: RtlFreeHeap
0xa58fb3: NtOpenProcess
0x1a9b050: RtlAllocateAndInitializeSid
0x12fa5ff: NtSetInformationToken
0x95a2a1: NtFilterToken
0x13ef40b: NtSetInformationThread
0xf4bf1a: NtTerminateProcess
0x80777a: RtlFreeSid
0xc5be25: RtlSetLastWin32Error
0xe43077: RtlNtStatusToDosError
0x11182e0: RtlInitUnicodeString
0x194f967: RtlExpandEnvironmentStrings_U
0xaf4ca4: RtlCreateHeap
0x10e7455: RtlGetNtVersionNumbers
0x14bdb9b: NtQueryInformationToken
0x8a61d2: RtlLengthSid
0xc93a45: RtlGetLastWin32Error
0xf0642f: CertOpenSystemStoreW
0x197b36c: CertFindCertificateInStore
0xb31f87: CertStrToNameW
0xf38dbb: CryptEncodeObject
0x1cc9d9f: CertCreateSelfSignCertificate
0xb16aa6: CertOpenStore
0x161478b: CertAddCertificateContextToStore
0x161caa2: CryptAcquireCertificatePrivateKey
0x1a9dadc: CertFreeCertificateContext
0xbc13e7: CertCloseStore
0x1038557: CryptBinaryToStringA
0x105f053: CreateCompatibleDC
0xcd33d0: CreateDIBSection
0x9667d0: SelectObject
0x3a82bf: BitBlt
0x5f4a54: GetDIBits
0x8481bf: DeleteObject
0x7cc139: GetObjectW
0xa4b539: GetStockObject
0xd6f603: WSAStringToAddressA
0x3379fc: send
0x37470b: recv
0x95ea87: closesocket
0xb56981: gethostbyname
0x86808d: shutdown
0x507ca1: socket
0x51578a: connect
0x95c481: WSAStartup
0x4d2f17: select
0x7b867c: __WSAFDIsSet
0x926788: ioctlsocket
0x770fcc: WSACleanup
0x2f4752: bind
0x538878: listen
0x92c2d6: getsockname
0x76fd22: inet_addr
0x48425e: htons
0x58d870: WSAIoctl
0x9f4c11: setsockopt
0xad2e9c: WSAEventSelect
0x663d92: AVIFileInit
0x715e1e: AVIFileOpenW
0xf2727f: AVIFileCreateStreamW
0x12ada7c: AVIMakeCompressedStream
0xd4f719: AVIStreamSetFormat
0xb35b1f: AVIStreamWrite
0xc0460b: AVIStreamRelease
0x97a86d: AVIFileRelease
0x6e47ea: AVIFileExit
0xe2bb88: mmioStringToFOURCCW
